MARQUES;MODELE;TYP. MINES;CNIT;CARB;CV;PUISS.;BV;Urbain;Ex.Urb;Mixte;CO2;;;;;
VOLKSWAGEN;LUPO 3L TDI;MVW70C1R4385;6ESCANYX01AGFD5850021N0H;GO;3;45.0;A 5;3.6;2.7;3.0;81;;;;;
VOLKSWAGEN;LUPO 3L TDI;MVW70C1RX572;6ESCAYZX01AGFD5850021N0H;GO;3;45.0;A 5;3.6;2.7;3.0;81;;;;;
VOLKSWAGEN;LUPO 3L TDI;MVW70C1R5386;6ESCANYX01AGFD5850021N0I;GO;3;45.0;A 5;3.8;2.8;3.2;86;;;;;
VOLKSWAGEN;LUPO 3L TDI;MVW70C1R6387;6ESCANYX01AGFD5850021N1H;GO;3;45.0;A 5;4.0;2.7;3.2;86;;;;;
VOLKSWAGEN;LUPO 3L TDI;MVW70C1RY573;6ESCAYZX01AGFD5850021N0I;GO;3;45.0;A 5;3.8;2.8;3.2;86;;;;;
VOLKSWAGEN;LUPO 3L TDI;MVW70C1RZ574;6ESCAYZX01AGFD5850021N1H;GO;3;45.0;A 5;4.0;2.7;3.2;86;;;;;
VOLKSWAGEN;LUPO 3L TDI;MVW70C1RJ388;6ESCANYX01AGFD5850021N1I;GO;3;45.0;A 5;4.2;2.8;3.3;88;;;;;
VOLKSWAGEN;LUPO 3L TDI;MVW70C1R0575;6ESCAYZX01AGFD5850021N1I;GO;3;45.0;A 5;4.2;2.8;3.3;88;;;;;
SMART;SMART CDI;MST5001AK017;MC01MCC01D01E3ASG6A00A0;GO;3;30.0;M 6;3.9;3.1;3.4;90;;;;;
SMART;SMART CDI BVA;MST5001AL018;MC01MCC01D01E3ASG6B00A0;GO;3;30.0;M 6;3.9;3.1;3.4;90;;;;;
SMART;SMART CDI CABRIOLET;MST5005AW021;MC01MCO01D01E3ASG6A00A0;GO;3;30.0;M 6;3.9;3.1;3.4;90;;;;;
SMART;SMART CDI CABRIOLET BVA;MST5005AX022;MC01MCO01D01E3ASG6B00A0;GO;3;30.0;M 6;3.9;3.1;3.4;90;;;;;
PEUGEOT;2063P 1.4HDi;MPE5001KA794;2C8HXF;GO;4;50.0;M 5;5.5;3.6;4.3;113;;;;;
PEUGEOT;2065P 1.4HDi;MPE5002KB793;2A8HXF;GO;4;50.0;M 5;5.5;3.6;4.3;113;;;;;
RENAULT;CLIO 3P 1.5dCi;MRE5111EU029;CB080F;GO;4;60.0;M 5;5.3;3.7;4.2;113;;;;;
RENAULT;CLIO 5P 1.5dCi;MRE5112EV028;BB080F;GO;4;60.0;M 5;5.3;3.7;4.2;113;;;;;
RENAULT;CLIO 3P 1.5dCi;MRE5001EJ999;CB07CF;GO;4;48.0;M 5;5.4;3.7;4.3;115;;;;;
RENAULT;CLIO 5P 1.5dCi;MRE5002EK998;BB07CF;GO;4;48.0;M 5;5.4;3.7;4.3;115;;;;;
AUDI;A21.4TDI (75ch);MAU5172QJ828;8ZLAMFF1FM52J064R8Z50S4K;GO;4;55.0;M 5;5.6;3.5;4.3;116;;;;;
AUDI;A21.4TDI (75ch);MAU5172QL830;8ZLAMFF1FM52J064R8Z50S5K;GO;4;55.0;M 5;5.6;3.5;4.3;116;;;;;
VOLKSWAGEN;LUPO TDI (75ch);MVW51C1RS532;6XSCAMFX01SGFM52J0521N1I40GE;GO;4;55.0;M 5;5.6;3.5;4.3;116;;;;;
AUDI;A21.4TDI (75ch);MAU5172QK829;8ZLAMFF1FM52J064R8Z50S4L;GO;4;55.0;M 5;5.7;3.6;4.4;119;;;;;
