"Marques";"Modèles, Versions";"CNIT";"CARBURANT";"Puiss Administrative";"Puissance max";"BV";"Conso urb";"Conso ex-urb";"Conso mixte";"CO2";""
"VOLKSWAGEN";"LUPO 3L TDI (61ch) TIPTRONIC";"MVW70K1RU464";"GO";"3";"45.0";"A 5";"3.6";"2.7";"3.0";"81";"Décembre 2003"
"VOLKSWAGEN";"LUPO 3L TDI (61ch) TIPTRONIC";"MVW70K1RX467";"GO";"3";"45.0";"A 5";"4.2";"2.8";"3.3";"88";"Décembre 2003"
"SMART";"SMART CDI";"MST5001A5074";"GO";"3";"30.0";"M 6";"3.9";"3.1";"3.4";"90";"Décembre 2003"
"SMART";"SMART CDI CABRIOLET";"MST5005AL082";"GO";"3";"30.0";"M 6";"3.9";"3.1";"3.4";"90";"Décembre 2003"
"SMART";"SMART CDI";"MST5001A6075";"GO";"3";"30.0";"M 6";"4.0";"3.3";"3.6";"95";"Décembre 2003"
"SMART";"SMART CDI CABRIOLET";"MST5005AM083";"GO";"3";"30.0";"M 6";"4.0";"3.3";"3.6";"95";"Décembre 2003"
"CITROEN";"C2 1.4HDi";"MCT5001RS780";"GO";"4";"50.0";"M 5";"5.1";"3.6";"4.1";"108";"Décembre 2003"
"CITROEN";"C3 5P 1.4HDi";"MCT5002PC678";"GO";"4";"50.0";"M 5";"5.1";"3.8";"4.2";"110";"Décembre 2003"
"RENAULT";"CLIO 3P 1.5dCi (80ch)";"MRE5111EM578";"GO";"4";"60.0";"M 5";"5.3";"3.6";"4.2";"110";"Décembre 2003"
"RENAULT";"CLIO 5P 1.5dCi (80ch)";"MRE5112EN577";"GO";"4";"60.0";"M 5";"5.3";"3.6";"4.2";"110";"Décembre 2003"
"CITROEN";"C2 1.4HDi";"MCT5001RT781";"GO";"4";"50.0";"M 5";"5.3";"3.6";"4.2";"111";"Décembre 2003"
"CITROEN";"C3 5P 1.4HDi 16V";"MCT5202PV677";"GO";"5";"66.0";"M 5";"5.3";"3.7";"4.3";"112";"Décembre 2003"
"CITROEN";"C2 1.4HDi";"MCT5001R9797";"GO";"4";"50.0";"M 5";"5.3";"3.6";"4.2";"113";"Décembre 2003"
"CITROEN";"C3 5P 1.4HDi";"MCT5002P0788";"GO";"4";"50.0";"M 5";"5.3";"3.8";"4.3";"113";"Décembre 2003"
"PEUGEOT";"206 3P 1.4HDi";"MPE5001KA794";"GO";"4";"50.0";"M 5";"5.5";"3.6";"4.3";"113";"Décembre 2003"
"PEUGEOT";"206 5P 1.4HDi";"MPE5002KB793";"GO";"4";"50.0";"M 5";"5.5";"3.6";"4.3";"113";"Décembre 2003"
"RENAULT";"CLIO 3P 1.5dCi (100ch)";"MRE5311E1476";"GO";"5";"74.0";"M 5";"5.2";"3.8";"4.3";"113";"Décembre 2003"
"RENAULT";"CLIO 5P 1.5dCi (100ch)";"MRE5312EJ456";"GO";"5";"74.0";"M 5";"5.2";"3.8";"4.3";"113";"Décembre 2003"
"TOYOTA";"YARIS 3P 75 D-4D";"MJT5141R0189";"GO";"4";"55.0";"M 5";"5.1";"3.7";"4.2";"113";"Décembre 2003"
"TOYOTA";"YARIS 3P 75 D-4D";"MJT5131RL175";"GO";"4";"55.0";"M 5";"5.1";"3.7";"4.2";"113";"Décembre 2003"
"TOYOTA";"YARIS 3P 75 D-4D";"MJT5131R0639";"GO";"4";"55.0";"M 5";"5.1";"3.7";"4.2";"113";"Décembre 2003"
"TOYOTA";"YARIS 3P 75 D-4D";"MJT5131R4643";"GO";"4";"55.0";"M 5";"5.1";"3.7";"4.2";"113";"Décembre 2003"
"TOYOTA";"YARIS 3P 75 D-4D";"MJT5141R4254";"GO";"4";"55.0";"M 5";"5.1";"3.7";"4.2";"113";"Décembre 2003"
"FIAT";"PANDA 1.3JTD";"MFT5112EN550";"GO";"4";"51.0";"M 5";"5.4";"3.7";"4.3";"114";"Décembre 2003"
"FIAT";"PANDA 1.3JTD";"MFT5112EP551";"GO";"4";"51.0";"M 5";"5.4";"3.7";"4.3";"114";"Décembre 2003"
"FORD";"NOUVELLE FIESTA 3P 1400 TDCi";"MFD50A1C3637";"GO";"4";"50.0";"M 5";"5.3";"3.7";"4.3";"114";"Décembre 2003"
"FORD";"NOUVELLE FIESTA 3P 1400 TDCi DURASHIFT";"MFD50B1CM389";"GO";"4";"50.0";"M 5";"5.3";"3.7";"4.3";"114";"Décembre 2003"
"FORD";"NOUVELLE FIESTA 5P 1400 TDCi";"MFD50A2CU590";"GO";"4";"50.0";"M 5";"5.3";"3.7";"4.3";"114";"Décembre 2003"
"FORD";"NOUVELLE FIESTA 5P 1400 TDCi DURASHIFT";"MFD50B2C5381";"GO";"4";"50.0";"M 5";"5.3";"3.7";"4.3";"114";"Décembre 2003"
